id,youtube,instagram,twitter
Anne Hidalgo,14.823529411764707,992.0,209.44540727902947
Emmanuel Macron,2508.625,80230.17391304347,6951.921161825726
Fabien Roussel,,776.6111111111111,779.9535232383809
Jean Lassalle,1135.0555555555557,2173.1714285714284,952.8299319727892
Jean-Luc Mélenchon,8304.962264150943,3970.958620689655,883.8137254901961
Marine Le Pen,431.6666666666667,5656.388888888889,773.7943037974684
Nathalie Arthaud,43.84905660377358,104.23255813953489,463.1923076923077
Nicolas Dupont-Aignan,1374.2407407407406,326.88990825688074,701.1139564660691
Philippe Poutou,,1455.125,2466.8395061728397
Valérie Pécresse,66.22641509433963,1889.0416666666667,459.89672544080605
Yannick Jadot,51.107142857142854,782.6823529411764,226.24074074074073
Éric Zemmour,17869.48076923077,11021.365384615385,3103.249544626594
